Article ID: 746815, Cluster: 4, Dominant Topic: 4
Article ID: 1549013, Cluster: 4, Dominant Topic: 6
Article ID: 726445, Cluster: 4, Dominant Topic: 4
Article ID: 796098, Cluster: 4, Dominant Topic: 3
Article ID: 1006066, Cluster: 4, Dominant Topic: 9
Article ID: 931403, Cluster: 4, Dominant Topic: 7
Article ID: 943443, Cluster: 4, Dominant Topic: 8
Article ID: 959740, Cluster: 4, Dominant Topic: 7
Article ID: 1024713, Cluster: 4, Dominant Topic: 6
Article ID: 1093474, Cluster: 4, Dominant Topic: 7
Article ID: 1141524, Cluster: 4, Dominant Topic: 1
Article ID: 1511077, Cluster: 4, Dominant Topic: 4
Article ID: 1251068, Cluster: 4, Dominant Topic: 7
Article ID: 1258901, Cluster: 4, Dominant Topic: 2
Article ID: 1276621, Cluster: 4, Dominant Topic: 1
Article ID: 1276661, Cluster: 4, Dominant Topic: 0
Article ID: 1296929, Cluster: 4, Dominant Topic: 8
Article ID: 1354803, Cluster: 4, Dominant Topic: 6
Article ID: 1478103, Cluster: 4, Dominant Topic: 0
Article ID: 1470385, Cluster: 4, Dominant Topic: 3
Article ID: 1497161, Cluster: 4, Dominant Topic: 9
Article ID: 1587993, Cluster: 4, Dominant Topic: 6
Article ID: 1588501, Cluster: 4, Dominant Topic: 5
Article ID: 1635467, Cluster: 4, Dominant Topic: 9
Article ID: 1682674, Cluster: 4, Dominant Topic: 7
Article ID: 1694081, Cluster: 4, Dominant Topic: 8
Article ID: 1775573, Cluster: 4, Dominant Topic: 4
Article ID: 1845206, Cluster: 4, Dominant Topic: 6
Article ID: 1749828, Cluster: 4, Dominant Topic: 1
Article ID: 1787828, Cluster: 4, Dominant Topic: 0
Article ID: 1792524, Cluster: 4, Dominant Topic: 4
Article ID: 1878824, Cluster: 4, Dominant Topic: 5
Article ID: 1918680, Cluster: 4, Dominant Topic: 3
Article ID: 1983397, Cluster: 4, Dominant Topic: 8
Article ID: 2150382, Cluster: 4, Dominant Topic: 4
