node_id,article_id,comment_id,parent_id,entity,entity_type,sum_sentiment,sum_pos,sum_neg,weight_pos,weight_neg,weight
281,[340497],[5808027892],[0],Echelon,['ORG'],0.4767,0.4767,0.0,1,0,1
282,[340497],[5808027892],[0],Navigator,['ORG'],0.4767,0.4767,0.0,1,0,1
283,"[340497, 1979029]","[5808073764, 5824542965]","[0, 5808037719]",Scandinavian,['NORP'],1.7741,1.7741000000000002,0.0,4,0,4
284,"[340497, 2010882, 1595579, 455511]","[5826440541, 5809714913, 5808073764, 5819794700]","[0, 5819762430, 5808037719]",Chile,['GPE'],0.0,0.0,0.0,0,0,0
285,"[340497, 898818]","[5808073764, 5814868719]","[5814832319, 5808037719]",Pinochet,['GPE'],1.0836000000000001,1.0836000000000001,0.0,3,0,3
286,[340497],[5808073764],[5808037719],the Chicago School of Economics,['ORG'],0.0,0.0,0.0,0,0,0
287,[340497],[5808022875],[0],Loser FG,['PERSON'],-0.7351,0.0,-0.7351,0,1,1
288,[340497],[5808022875],[0],Wash Post,['ORG'],0.0,0.0,0.0,0,0,0
289,[340497],[5808019371],[0],the General Election,['ORG'],-0.1027,0.0,-0.1027,0,1,1
290,"[2115330, 510857, 1138187, 340497, 623380, 821274, 419614, 1983397, 1330472, 428457, 413742, 1679152, 457650, 1787828, 1227715, 1281862, 848839, 2053959, 1089225, 931403, 734285, 1276621, 678224, 1227730, 455511, 457434, 2069978, 540892, 1138141, 1566688, 634084, 541160, 422893, 1963245, 1682674, 1438965, 1480953, 1298430]","[5812868609, 5818196999, 5810514957, 5816817168, 5817185315, 5822161959, 5826358824, 5815835178, 5817711157, 5817216055, 5832683577, 5809723968, 5812353099, 5817955919, 5813056601, 5811754085, 5819165285, 5826676846, 5810169976, 5810901626, 5813323901, 5811863165, 5810624132, 5809585291, 5811137682, 5817075859, 5810302109, 5815782062, 5809425071, 5830446262, 5819072698, 5810373306, 5812965052, 5812825278, 5816009408, 5822135488, 5822520055, 5820914435, 5822128900, 5813522184, 5814239506, 5812817689, 5818491163, 5822129947, 5813561122, 5823867171, 5816848167, 5809860905, 5819517746, 5824172850, 5820415798, 5814824246, 5812043068, 5816976702, 5813366615, 5823883096, 5816929113, 5812957548, 5821143917, 5822496620, 5815225720, 5809849720, 5810376062, 5812331908, 5809283980, 5809581466, 5808035229, 5810380705, 5812117422, 5808019382, 5824469431, 5812994489, 5810389946, 5818030522, 5817625533, 5816605630, 5818241995, 5813913039, 5813068759, 5809181668, 5816839656]","[0, 5810961538, 5822128900, 5812820486, 5813321735, 5812827659, 5809503375, 5810617618, 5812246802, 5815216660, 5812115606, 5821067543, 5812920988, 5812957088, 5820396448, 5823862561, 5816007464, 5815781545, 5809170474, 5819514281, 5812042671, 5817622712, 5816835646, 5817067583, 5816814016, 5819164488, 5812730571, 5808017741, 5808018768, 5819069520, 5810512983, 5811122653, 5816958045, 5826641248, 5814803965, 5809389922, 5815832423, 5810164072, 5832682988, 5822513775, 5812986609, 5809848306, 5810899700, 5822488694, 5809849720, 5810384253]",WH,['ORG'],-0.7563000000000001,37.9717,-38.72800000000001,87,80,167
291,"[755329, 340497, 943443, 455511, 821274, 419614]","[5815289344, 5808036458, 5815376684, 5808034647, 5815288729, 5815251252, 5815896662, 5809216154, 5816968761, 5814941850, 5809499515]","[0, 5809493188, 5815708005, 5815371141, 5815241284, 5808017741, 5808021840, 5814813841, 5815267923, 5815264788]",Thirty Flushes,"['PERSON', 'ORG']",1.294,2.6700999999999997,-1.3761,8,4,12
292,"[734285, 340497, 1787828, 1918680, 623485, 419614]","[5809290344, 5823449838, 5808021840, 5822327896, 5812764443, 5813560124]","[0, 5808017741, 5809289422, 5812736272, 5823445342]",Billionaire,"['GPE', 'PERSON']",-3.4269,0.0,-3.4269000000000007,0,14,14
293,[340497],[5808021840],[5808017741],Biden's & Trump's,['ORG'],0.0,0.0,0.0,0,0,0
