tweet_id,timestamp
340497_1,2022-03-27 13:19:04+00:00
340497_2,2022-03-27 13:20:04+00:00
340497_3,2022-03-27 13:40:02+00:00
340497_4,2022-03-27 15:52:24+00:00
340497_5,2022-03-27 15:59:50+00:00
340497_6,2022-03-27 17:23:16+00:00
340497_7,2022-03-27 18:47:47+00:00
340497_8,2022-03-27 19:35:10+00:00
340497_9,2022-03-28 02:18:07+00:00
340497_10,2022-03-28 02:40:02+00:00
340497_11,2022-03-28 07:23:52+00:00
340497_12,2022-03-28 19:00:03+00:00
340497_13,2022-03-27 22:43:29+00:00
340497_13_201775458,2022-03-28T14:20:59+0000
340497_14,2022-03-28 00:19:27+00:00
340497_14_1087431789566615553,2022-03-28T02:17:10+0000
340497_14_1087431789566615553_1459442212501082119,2022-03-28T02:49:16+0000
372284_1,2022-03-28 01:23:04+00:00
372284_2,2022-03-28 01:24:33+00:00
372284_3,2022-03-28 01:24:33+00:00
372284_4,2022-03-28 01:33:57+00:00
372284_5,2022-03-28 01:33:57+00:00
372284_6,2022-03-28 02:02:34+00:00
372284_7,2022-03-28 02:05:52+00:00
372284_8,2022-03-28 02:08:05+00:00
372284_9,2022-03-28 02:28:21+00:00
372284_10,2022-03-28 02:40:02+00:00
372284_11,2022-03-28 04:00:02+00:00
372284_12,2022-03-28 05:22:39+00:00
372284_13,2022-03-28 10:13:24+00:00
372284_14,2022-03-28 10:44:21+00:00
372284_15,2022-03-28 11:05:30+00:00
372284_16,2022-03-28 13:03:06+00:00
372284_17,2022-03-28 19:00:03+00:00
372284_18,2022-03-29 09:20:02+00:00
372284_19,2022-03-28 20:29:07+00:00
372284_19_2951742165,2022-03-28T20:29:41+0000
372284_19_1506378290302398466,2022-03-28T20:30:10+0000
372284_19_1503724047858868225,2022-03-28T20:46:51+0000
413742_1,2022-03-28 15:52:02+00:00
413742_2,2022-03-28 16:06:13+00:00
413742_3,2022-03-28 16:10:29+00:00
413742_4,2022-03-28 16:44:20+00:00
413742_5,2022-03-28 17:00:10+00:00
413742_6,2022-03-28 17:00:10+00:00
413742_7,2022-03-28 17:01:26+00:00
413742_8,2022-03-28 17:25:01+00:00
413742_9,2022-03-28 17:28:27+00:00
413742_10,2022-03-28 17:52:50+00:00
413742_11,2022-03-28 17:58:06+00:00
413742_12,2022-03-28 18:00:02+00:00
413742_13,2022-03-28 19:34:26+00:00
413742_14,2022-03-28 19:55:06+00:00
413742_15,2022-03-28 19:55:06+00:00
413742_16,2022-03-28 19:55:07+00:00
413742_17,2022-03-28 22:41:17+00:00
413742_18,2022-03-29 01:27:27+00:00
413742_19,2022-03-29 02:03:56+00:00
413742_20,2022-03-29 02:33:32+00:00
413742_21,2022-03-29 04:35:42+00:00
413742_22,2022-03-29 05:11:33+00:00
413742_23,2022-03-29 05:34:40+00:00
413742_24,2022-03-29 15:41:10+00:00
413742_25,2022-03-29 19:49:05+00:00
413742_26,2022-03-29 20:34:05+00:00
413742_27,2022-03-30 12:24:12+00:00
413742_28,2022-03-28 21:08:14+00:00
413742_28_2907573811,2022-03-28T22:26:21+0000
413742_29,2022-03-28 18:20:03+00:00
413742_29_17542901,2022-03-28T18:21:28+0000
413742_29_17542901_1401276105647083522,2022-03-30T07:24:02+0000
413742_29_281247592,2022-03-28T18:56:40+0000
413742_29_299990014,2022-03-28T19:27:29+0000
413742_29_299990014_1390211476179361792,2022-03-28T19:29:30+0000
413742_29_299990014_31042950,2022-03-29T10:58:02+0000
413742_29_1479022184341385216,2022-03-28T20:19:02+0000
413742_29_1322423850,2022-03-28T21:38:10+0000
413742_29_1501638111633235971,2022-03-28T22:31:59+0000
