article_id,tweet_id,user_id,parent_id,entity,entity_type,sentiment
413742,413742_26,1451959802683351040,0,MarkHamill,ORG,-0.6124
413742,413742_27,341027410,0,Comedians,NORP,-0.2263
413742,413742_27,341027410,0,Smith Oscar,PERSON,-0.2263
413742,413742_28,1204493440873975808,0,Smith,GPE,0.1761
413742,413742_28,1204493440873975808,0,Chris Rock,PERSON,0.1761
413742,413742_28_2907573811,2907573811,413742_28,Kanye West,ORG,0.5267
413742,413742_29,86141342,0,Smith,GPE,-0.2023
413742,413742_29,86141342,0,Chris Rock,PERSON,-0.2023
413742,413742_29_17542901_1401276105647083522,1401276105647083522,413742_29_17542901,nikkibenz ABCWorldNews gj boo hoo cry,PERSON,-0.5859
413742,413742_29_17542901_1401276105647083522,1401276105647083522,413742_29_17542901,sarah b stanley,PERSON,-0.5859
413742,413742_29_299990014,299990014,413742_29,Smith,ORG,-0.6597
413742,413742_29_299990014,299990014,413742_29,Chris,PERSON,-0.6597
413742,413742_29_299990014_1390211476179361792,1390211476179361792,413742_29_299990014,la la,PERSON,-0.3612
413742,413742_29_1501638111633235971,1501638111633235971,413742_29,TheAcademy,ORG,0.5423
413742,413742_29_1501638111633235971,1501638111633235971,413742_29,WillSmith,ORG,0.5423
413742,413742_29_1501638111633235971,1501638111633235971,413742_29,TheAcademy,ORG,0.5423
413742,413742_29_1501638111633235971,1501638111633235971,413742_29,WillSmith,ORG,0.5423
413742,413742_29_1474054665742467076,1474054665742467076,413742_29,IJS,ORG,0.6841
413742,413742_29_1435754514359930883,1435754514359930883,413742_29,WNT,ORG,0.2732
413742,413742_30,28785486,0,Smith,ORG,-0.5221
413742,413742_30,28785486,0,Chris Rock,PERSON,-0.5221
413742,413742_30_1507801772739338240,1507801772739338240,413742_30,YswmIqxasg,NORP,0.0
413742,413742_30_718641865080221697,718641865080221697,413742_30,Chris,PERSON,-0.8689
413742,413742_30_718641865080221697,718641865080221697,413742_30,Smith,ORG,-0.8689
413742,413742_30_718641865080221697,718641865080221697,413742_30,Chris Rock,PERSON,-0.8689
413742,413742_30_718641865080221697_1456583566649749505,1456583566649749505,413742_30_718641865080221697,Smith,PERSON,-0.8176
413742,413742_30_718641865080221697_1456583566649749505,1456583566649749505,413742_30_718641865080221697,Violent Dumbass,PERSON,-0.8176
413742,413742_30_718641865080221697_1456069658201579523,1456069658201579523,413742_30_718641865080221697,Nope Smith,PERSON,0.7581
413742,413742_30_718641865080221697_22316991,22316991,413742_30_718641865080221697,Smith,GPE,0.6369
413742,413742_30_718641865080221697_44453171,44453171,413742_30_718641865080221697,Hate,PERSON,0.0258
413742,413742_30_718641865080221697_3888835876,3888835876,413742_30_718641865080221697,Honor,PERSON,0.6705
413742,413742_30_718641865080221697_1072670979732717569,1072670979732717569,413742_30_718641865080221697,Smith,PERSON,-0.8074
413742,413742_30_718641865080221697_817816285,817816285,413742_30_718641865080221697,Jada,PERSON,0.0258
413742,413742_30_718641865080221697_1489324911361511424,1489324911361511424,413742_30_718641865080221697,Hate Speech,PERSON,0.0972
413742,413742_30_718641865080221697_1489324911361511424,1489324911361511424,413742_30_718641865080221697,Gtfo,PERSON,0.0972
413742,413742_30_718641865080221697_1508310922875473920,1508310922875473920,413742_30_718641865080221697,Hate,PERSON,-0.6124
